warenId,ware,ware_quelle,kurzbeschreibung,literatur
1655,Deputatgetreide (herrschaftlich),herrschaftl. deputat trayd,"Als Deputat wird das bezeichnet, was eine Herrschaft seinen Bedienten über den Lohn hinaus an Naturalien (Getreide, Holz, Bier, Fleisch, etc.) zugesteht.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Deputat</a>&quot;."
1656,Bäumel (gemein),gmainen peumbl,,
1657,Kräutertee,"kreuter thee, kreutter thee",,
1658,Fisolen,"fisollen, visolen",Grüne Bohnen,
1659,"Halbseidenware, Seidenware","seiden, und halbseiden waaren, seiden, und halbseiden waar, seiden und halb waar",,
1660,"Schnüre, Tüchel",schnier und diechl,,
1661,Seidenband (mit Gold und Silber),seiden band mit gold und silber,,
1662,Nüsse,"nuss, nußen",,
1663,"Krämereiware, Seidenware",seiden und crammereywaar,,
1664,Meeresfischel (gesalzen),gesalzene möhrfischl,,
1665,Schaffelle (türkisch),türkhische schaffehl,,
1666,Senfkörner,senff kern,"Siehe ""Senf"". ",
1667,Lothlarin,"lothlarin, lotlarin, lothraine",,
9188,Mascades,moscot,Auflösung unsicher.,"Heiden, Handwörterbuch, 348."
1669,Meliszucker,melis zukher,Feiner Zucker aus Malta.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Melis</a>&quot;."
1670,Raffinatzucker,reffinat zukher,"Sehr feiner, weißer Zucker, der durch Raffinieren gewonnen wird.","Krünitz, ""Raffinatzucker""."
1671,Erdengeschirr (fein),feines erden gschier,,
1672,Liberei,liberei,"Bücher, Bücherei und Bibliothek. Evlt. auch ""Livree"".","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Liberey</a>&quot;"
1673,"Blech, Bleiknöpfe, Eisen, Harrasgarn (ord.), Holzware, Zinnknöpfe","zihn und bleyer:knöpff, eisen, blech und holzwaar auch ord. harrasgarn","Harrasgarn: doppeltes, grobes Kammgarn, das meist aus orientalischer Wolle hergestellt und vorwiegend für Teppiche und Posamente verwendet wird.",
4773,Käse (savoyisch),savoischer kääs ,,
1675,Zinnknöpfe (groß),gross zihnerne knöpff,,
1676,Saiten,"saithen, saitten, sätten",,"kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Saite</a>&quot;."
1677,Spitze (falsch),falsche spize,,
1678,Tock,"tokh
",Docken?,
1679,Tantes,tontes,"Rechenpfennige oder Marken, die man beim Kartenspiel gebraucht (Jetons). ","Kr&uuml;nitz, Encyklop&auml;die, &quot;Tantes&quot;. "
1680,Druckermodel,drukher mödl,,
1681,Waffeleisen,waffel eisen,,
1682,Zinn (an Knöpfen),"zihn an knöpfen, zihn an knöpfn",,
1683,Brennholz,prenholz,,
1684,Flocken,"flokhen oder scher:haar, flokhen","Scherhaar, oder -flocken, sind beim Tuchscherer kurz abgeschnittene Wollhaare, die z. B. in der Tapetenerzeugung verwendet werden. ","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Scheerhaar</a>&quot;.<br />"
1685,Haar,"haar, horr, haar oder flax","1. Flachs, Lein.
2. Menschliches Haar (für Perückenherstellung) oder tierisches Haar (Ziegen [sog. ""Kamelhaar"" aus der Türkei und Persien], Kanninchen und Biber [verwendet von Hutmachern], Ross- und Rehhaare [verwendet von Sattlern für Kissen und Matratzen].","<p>&nbsp;<span class=""normtext"">Johann Joachim Becher, Politischer Discurs [...] (Frankfurt/Main 1688) 132f.</span></p><p>&nbsp;J. F. Castelli, W&ouml;rterbuch der Mundart in Oesterreich unter der Enns [...] (2. Aufl. Wien 1847) 165; Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"" target=""_blank"">Haar</a>&quot;.</p>"
1686,Cotolini,cotolini,,
1687,Artischocken,"artitschokhen, artitschoiken, ärtitschokhen",,
1688,Pfirsichschnitz,pferscher:schniz,,
1689,"Krämerei, Öl","öhl und crammerei, crammerei et öhl",,
1690,Waldrauch,"waldrauch, rauch ","Achtung: Nicht identisch mit ""waltrauekhen"", ""waldraukhen""",
1691,Pfosten (eichen),aichene pfosten,,
1692,Samt (schwarz),schwarzer samet,stammt hauptsächlich aus Genua.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Sammet (schwarzer)</a>&quot;."
1693,Kronengewichte,cron gewichter,,
1694,Schnupfflaschen,schnupf flaschen,Schnupftabakflaschen,
1695,Uhr/Uhren,"uhr, uhrn",,
1696,Zimmersägen,"zimer sagen, zimer:saag",,
1697,Handschuhunterfutter (gestrickt),gestrikhte handschuech:underfueder,,
1698,Gämse (lebendig),lebendige gämbsen,,
1699,Bücher (französisch),französ. biecher,,
1700,Früchte (eingemacht),eingemachte fricht,,
1701,Zentel,zentl,,
1702,Instrument/Instrumente,"instrument, instromenter",,
1703,Tabakproben,"towakh proben, prob towakh",,
1705,Bleistifte,"bleystefte, bley steffen, bley stefften, bleystöften, bleystöfften",,
1706,Wein (Almosen-),almoßen wein,,
1707,Linsen,linsen,Hülsenfrucht,
8904,Silbermetall,silber mettallen,,
1709,Musikalien,mussicalien,,
1710,Eisenwerkzeug,"eisen werkhzeig, eisene werkhzeug",,
1712,Goldschmiedwerkzeug,"goldschmid werkhzeig, goldschmidwerckhzeug",,
1713,"Krämerei, Wasser (gebrannt)",crammerej und gebrents wasser,,
1714,Kirchenbuschen,"kürchen:buschen, kürchen puschen, kürchen pueschen",,
1715,Papierspiegel,"pappierene spiegl, pappier spiegl",,
1716,Wollbändel,wohlene pändl,,
1717,Ware (fein),feiner waar ,,
1718,Lebzelten,lebzelten,"Siehe ""Lebkuchen"".",
1719,Tischplättel (steinern),stainerne dischblätl,,
1720,Presse/Pressen,"prössen, press",,
1721,Stroh (herrschaftlich),herrschafftl. stroo,,
1722,Rüben (herrschaftlich),herrschafftl. rueben,,
1723,Hafer (herrschaftlich),haber herrschafftl.,,
1724,Betenware (silbern),silber petten waar,,
1725,"Sackuhr (silbern, vergoldet)",silber und vergolte sakh:uhr,,
1726,Fußsack (gefüttert),geiederter fues sakh,"Großer Sack aus grobem, meist wollenem Stoff, in den man im Winter gegen Kälte die Füße steckte.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Fu&szlig;sack</a>&quot;."
1727,Zinnober,"zinober, zinor",,
1729,"Goldspitze, Silberspitze",gold und silber spiz,,
1730,Spat,spatt,Unterschiedliche Minerale. Siehe Spatsteine.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Spath</a>&quot;. "
6008,"Gerste, Grieß, Mehl","mehl, gersten und gries",,
6009,Katzenbälge,kazen balkh,,
1731,Kristall,"christall, cristall","Substanz, deren Teile so geordnet sind, dass sie regelmäßig feste Massen ausmachen oder die Mineralien von selbst eine beständige Figur annehmen. Mehrere vereinigte Kristalle nennt man Drusen.","Kr&uuml;nitz, Encyklop&auml;die, &quot;Krystall&quot;."
1732,Olivenöl,olivi öhl,,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Oliven&ouml;l</a>&quot;."
1733,Tischteppich (ledern),leederne disch:tebbich,,
1734,Flachfischware,ffischwaar,,
1735,Wildfleisch,wildfleisch,,
1736,Kandiertes,"candirts, condirts, canditi","Kandieren (auch Konfieren) ist eine Konservierungsmethode für frische, essbare Pflanzenteile (meist Früchte und Obst), bei welcher der Zuckergehalt der Früchte auf mindestens 70 Prozent erhöht und der Wassergehalt reduziert wird.","Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Kandieren"">Kandieren</a>&quot;. "
1737,Kupferware,kupfer:waar,,
1738,Aufputz (für ein Frauenzimmer),aufbuz für ein frauen:zimer,,
1739,Messingware (fein),feine mössing waar,,
1740,Gold,gold,"Ist ein Edelmetall (Aurum). 
Wenn die Einheit ""Büchel (biechl)"" angegeben ist, handelt es sich eigentlich um Blattgold: https://books.google.at/books?id=tqJEAAAAcAAJ&pg=PA325&dq=b%C3%BCchel+gold&hl=de&sa=X&ved=0ahUKEwjksvvjn6ndAhUN6qQKHbUdDjEQ6wEIPDAE#v=onepage&q=b%C3%BCchel%20gold&f=false S. 325.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Gold</a>&quot;, Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Gold"">Gold</a>&quot;. "
1741,Federschliefer,federn schlieffer,Wahrscheinlich eine Art Muff.,"Kr&uuml;nitz, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schliefer</a>&quot;.<br />"
1742,Arzneikräuter,arzenej:kreuter,,
1743,Birnenquitten,piern:kitten,"Spezielle Sorte der Quitte, die in ihrer Form an eine Birne erinnert.","wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Quitte"">Quitte</a>&quot;.<br />"
1744,Gämse,gämbsen,Gams.,"Schedel, 1814, S. 397, &quot;Gems&quot;."
1745,Obst (gemein),gmains obbst,,
1746,"Hardes, Hausrat",hardes und haußrath,,
1747,Wollhauben,wohlene hauben,,
1748,Kuchen,kuchen,,
1749,Haarbändel,haar:bändl,,
1750,Buchbinderschriften,buechbinder schrifften,,
1751,Blei (gegossen),"gegossnes bley, vergossenes bley",,
1752,Leinwand (weiß),weisse leinwath,,
1753,"Leinwand (gefärbt), Rupfen (gefärbt)",gefarbte leinwath und rupfen,,
1754,"Muscheln, Tabakköpfe",muschl und towakh:köpf,,
1755,Grieß,gris,"Grob gemahlenes Getreide, vor allem Weizen, das als Zutat verschiedener Speisen, z. B. für Brei, Suppen, oder Kuchen Verwendung findet. ","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Gries</a>&quot;."
1756,Trüb (mährisch),marisches trib,,
1757,Pfefferstaub,pfeffer:staub,"Gestoßener schwarzer, auch minderwertiger Pfeffer.","Deutsches Wörterbuch von Jacob und Wilhelm Grimm. Lfg. 9 (1887), Bd. VII (1889), Sp. 1639, Z. 68."
1758,Kuhkäse,küe kääs,,
1759,Glasware,glaßwaar,,
1760,Kommissgriff,comiss griff,,
4446,Geschirr (gemein),gmains gschier,,
1762,Bergfarbe,bergfarb,"Erdart, die durch die Beimischung gelöster Metalle eine bestimmte Farbe angenommen hat.",https://lexika.digitale-sammlungen.de/adelung/lemma/bsb00009131_4_1_1495
1763,Wein (Kräutel-),kreutlwein,,
1764,Plattenkupfer,platenkupfer,,
1766,Kalender,"callender, calländer",,
1767,Nesteltuch,"nestltuch, nestl tuech, nöstl tuech, nöstl gahrn tuech","""Die Stängel der Großen Brennnessel, vor allem derjenigen Pflanzen, die schon länger auf dem gleichen Boden stehen, haben sehr feste und lange Bastfasern. Hieraus hat man schon in den früheren Jahrhunderten und Jahrtausenden Nesselfäden und Nesselgarn gewonnen und daraus Stoffe hergestellt. Unter Zuhilfenahme von Birkenpech befestigte man damit Pfeilspitzen ab Pfeilschäften und brachte auch die Befiederung an, die für eine Stabilisierung des Flugverhaltens der Pfeile sorgen sollten.
Diese festen Fasern eigen sich gut zur Herstellung von festen Stoffen wie beispielsweise dem Nesseltuch. Dieses ist deutlich fester als Leinen und kann deshalb für Stricke und Fischernetze verwendet werden, bei denen besonders reißfeste Fasern benötigt werden. Ehe die Baumwolle nach Europa gelangt ist, bestand 1723 noch eine Nesselmanufaktur in Leipzig.
Neben der sehr Reißfestigkeit der Brennnesselfaser zeichnet sich diese auch noch durch die Fähigkeit zu einer extrem hohen Feuchtigkeitsaufnahme aus. Sie besitzt eine der Baumwolle ähnliche Bauschfähigkeit und besitzt edlen Glanz.""
2. eine andere Bezeichnung für ""Musselin"", siehe ebenda. ","<p>Zitiert aus: http://www.stoff4you.de/stoff-lexikon/nesseltuch/ [21.01.2014]; Kr&uuml;nitz, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Musselin</a>&quot;. </p>"
1768,"Flachfisch, Heringe, Zinn, Zucker","ffisch, häring, zihn und zukher",,
1769,Wein (Landshaager),landtshaager:wein,,
1770,"Hafer, Stroh (herrschaftlich)",herrsch. stroo und habern,,
1771,Zitronen,citroni,,
1773,Seidensamt,"seiden samet, seüden sammet",,
1774,Korallen,corallen,,
1775,Rüben (bayerisch),bayr. rueben,,
1776,Seide (mit Gold),seiden mit gold,,
1777,"Messing, Wollware",mössing und wohlen waar,,
1778,Scripturen,scripturn,,
1779,Farbe,farb,Farbstoffe.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Farbematerialien</a>&quot;."
1780,Lorbeerblätter,"lorber pleter, lorber laub","sind die Blätter des Lorbers, die zum Würzen von Speisen genutzt werden.","Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Echter_Lorbeer"">Echter Lorbeer</a>&quot;."
1781,Wein (Montepulcianer),"montepolicianer:wein
",Wein aus Montepulciano,
1782,Scherrüben,"scherrueben, scheerriebl
",Bayerische Rüben oder Kohlrübe/Kohlrabi.,
1783,Silberware (fabriziert),fabricirte silber:waar,,
1784,Flaumfedern,"pflaumfödern, pflaumb","Daune: Kleine, sehr weiche Feder unter den Deckfedern der Vögel, die für Kissenfüllungen verwendet wird.","Duden W&ouml;rterbuch, &quot;<a href=""http://www.duden.de/suchen/dudenonline/Flaumfeder"">Flaumfeder</a>&quot;.<br />"
1785,Fenstersteine (ausgemacht),außgemacht fenster stain,,
1786,Saft,säft,,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Saft</a>&quot;."
1787,Terzenhäute (roh),rauche terz:heut,,
1788,Seidenhauben,seidene hauben,,
7475,Berggrün (schwarz),schwarz bergquer,Interpretation unsicher.,
7476,Pfirsichbäumel,pferscher peumbl,,
7477,"Musselin, Schleier",schleyr und muselin,,
7478,Haarpuder (gemein),gem. haarpuder,,
7479,Holz (feucht),holz feichtes,,
7481,"Erde (gelb), Erde (rot), Holzware, Steinware",stain und holzwaar auch roth und gelbe erden,,
7484,"Geschmeide, Nägel",geschmeidt et nögl,,
1790,Plumierwachs,plumier:wax,,
1791,Wein (Rheingauer),ringauer:wein,,
1792,Pateria,"pateria, patrie, paterca, bateria",,
1793,Pfefferkuchen,pfefferkuechen,"siehe ""Lebkuchen"".",
1795,Hutmacherzeug,"huetmacher zeug, huederer zeug, hueder zeug",,
1796,"Kuhhäute (roh), Terzenhäute (roh)","rauche küe und terzheit, roche küe und terz:heut",,
1798,Pistolenschlösser,pistollen schlösser,,
1800,"Butter, Käse",kääs und butter,,
1801,Zirmfell,"ziermbfehl, ziembfehl, zirmbfehl, ziermb, zwiermbfehl, zihrnfehl","Enthaartes, steif gearbeitetes und v.a. grün gefärbtes Fell.","Josef Baltrich, Plan zu Vorarbeiten für ein Idiotikon der siebenbürgisch-sächsischen Volkssprache (Kronstadt 1865) 91, ""zirm""."
1803,Silberware (gearbeitet),gearb. silber waar,,
1804,Krämerei (gemein),gmaine crammerei,,
1805,Wein (eigener),aignen wein,,
1806,Sinawaff,"sinawaff, sinawaffen [?], sünawaffen",Möglicherweise ein feines Gewebe für Schleier und Spitzen.,
4852,Schlaguhren,schlag uhr,,
1807,Sperl (gelb),gelbe sperl,,
1808,Erde (gebrannt),gebrente erden,Gebrannter Ton oder Lehm.,
1809,Bertagoo,bertagoo,,
1810,Erde (grün),griene erden,"oder Cendre de Verre/Terra de Verte ist eine Farbenerde aus Eisenoxydul, besonders bekannt ist jene aus Verona. Sie wird in der Malerei verwendet.","<p>Schedel, 1814, S. 223, &quot;Cendre de Verre&quot;; S. 333 &quot;Farben&quot;;</p><p>&nbsp;http://books.google.at/books?id=DgIzAQAAMAAJ&amp;pg=PA246&amp;dq=gr%C3%BCne+erde&amp;hl=de&amp;sa=X&amp;ei=17nQU92iBOr-ygPtrIGgCw&amp;ved=0CFQQ6AEwCA#v=onepage&amp;q=gr%C3%BCne%20erde&amp;f=false</p><p>&nbsp;</p>"
1811,Tischtuch,tischtuech,,
1812,"Käse, Konfekt",confect und kääs,,
1814,Straußenfedern,straus federn,,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Strau&szlig;feder</a>&quot;. "
1815,"Fenstersteine (ausgemacht), Türgerichtsteine (ausgemacht)",außgemachte fenster und thier gericht:stain,,
1816,Rapétabak (Straßburger),strassburger rappe towakh,,
1817,Fisch (gesalzen),gesalzene fisch,,
1818,Rundfischel,rundfischl,"Getrockneter Dorsch, Stockfisch.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Rundfisch</a>&quot;."
1819,Baumöl (in Gläsern),paumöhl in gläsern,,
1820,Wein (in Bouteillen),"wein in boutelen, wein in boutelln",,
1821,Rotscherling,rothschärl,"Astacus astacus, europäischer Flusskrebs",
4854,Tafelscheiben,tafl scheiben,,
1822,Buchdruckerpapier,buechtrukher:pappier,,
1823,Buchdruckerschriften,buechtrukher:schrifften,,
1824,"Knöpfe, Schnupftüchel, Stecken (hölzern)","hilzerne stekhen, schnupftiechl und knöpf",,
1825,Scholken,scholken (scholthen [?]),Lesung unsicher.,
1826,Beten (beinern),"painerne petter, painerne petten, bainer petter",Rosenkränze aus Elfenbein oder anderen Knochen.,
1827,Schwammenöl,schwamen öhl,Möglicherweise Pilzöl.,"<p><a href=""http://books.google.at/books?id=zzdSAAAAcAAJ&amp;pg=PA114&amp;dq=schwamen+%C3%B6l&amp;hl=de&amp;sa=X&amp;ei=Z9giVIQIqefLA5fOgUA&amp;ved=0CB0Q6AEwADgK#v=onepage&amp;q=schwamen%20%C3%B6l&amp;f=false"">http://books.google.at/books?id=zzdSAAAAcAAJ&amp;pg=PA114&amp;dq=schwamen+%C3%B6l&amp;hl=de&amp;sa=X&amp;ei=Z9giVIQIqefLA5fOgUA&amp;ved=0CB0Q6AEwADgK#v=onepage&amp;q=schwamen%20%C3%B6l&amp;f=false</a></p><p>&nbsp;</p>"
1829,Kommissklingen,"comiss: clingen, comis:clingen",,
1830,Bergkupfer,berg kupfer,"Gediegenes Kupfer, also Kupfer, das in der Natur als reines, chemisches Element vorkommt. Kupfer ist ein Halbedelmetall und kommt in der Natur nur selten gediegen vor.",
1831,"Saffian, Wollgarn",wohles gahrn und saffian,,
1832,"Ablasspfennige (Messing), Kreuzel (Messing)",ablaspfening und creuzl alles v. mössing,,
1833,Scheiben,scheiben,,
1834,Mahlgetreide,"mal trayd, mall trayd, malltraydt, maldräyt",,
1835,Rossdecken,ross:decken,,
1836,Pflaumen (gedörrt),gedörte pflamen,,
1837,Sackuhr (silbern),silberne sakh uhrn,,
1838,Männerhandschuhe,mans handschuech,,
1839,"Holzschuhe, Teller",holzschuech und däller,,
1840,Armatur,armatur,,
1841,"Drogerie, Süßholz",siessholz und drogheria,,
1842,Schweinehäute (gearbeitet),gearb. schwein heith,,
1843,Germ,"germ, gergen","Höchstwahrscheinlich identisch mit ""Gergen"". Kommt nur einmal bei Thomas Stadler vor, der auch um dieselbe Gebühr ""Gergen"" transportiert. Hefe.",
1844,"Goldblech, Silberblech",gold und silber blech,ein zum Blech geschlagenes Gold oder Silber.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Goldblech</a>&quot;. "
1845,Bockhaar (weiß),weisse pokh:haar,,
1846,"Ware (Nürnberger, schlecht)",schlechte niernberger waar,,
1848,Offizierdegen (vergoldet),vergolde officier degen,,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Officierdegen</a>&quot;."
1849,Messingware (vergoldet),vergolde mössing waar,,
1850,"Pantoffel, Schuhe",schuech und bandoffl,,
1851,Butter (holländisch),hollent. butter,,
1852,Ziborium,ciborium,,
1853,Ware,"waar, allerhand waar, allerhand wahrn, diverss waar, underschiedliche waaren",,
6891,Harrasware (gemein),gmaine harras wahr,,
6892,Kruzifixe (Kristall),christallene crucifix,,
1855,Küchenviktualien,kuchl victualien,,
1856,"Schreibtaferl (steinern), Tischtaferl (steinern)","stainer disch und schreib:täferl, stainer dischl und schreib täferl",,
1857,Spargelwurzen,spärglwurzen,,
1858,Taschenspiegel,daschen spiegl,Kleiner Spiegel in einem Futteral.,"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Taschenspiegel</a>&quot;. "
1859,Ware (geistlich: Bücher),geistl. waar an biechern,,
1860,Lindenholz,"lindes:holz, lindenes holz",,
1861,Reiseuhren,reiss uhrn,,
1862,Dolle,"dolle, dolee, dalli, dolli, dali","Übereinstimmung der Gebühren mit ""Dolci"". Wird häufig mit Früchten transportiert.",
1863,Musselin,"mouselin, mousselin, mosselin, musselin ","Nesseltuch: glatter, lockerer und feiner Stoff aus Baumwolle oder Wolle, der einen gewichtigen Teil des Ostindienhandels ausmachte. ","Kr&uuml;ntz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Musselin</a>&quot;; Wikipedia, &quot;<a href=""http://de.wikipedia.org/wiki/Musselin"">Musselin</a>&quot;.&nbsp; Johann Ferdinand Roth, Gemeinn&uuml;tziges Lexikon f&uuml;r Leser aller Klassen, besonders f&uuml;r Unstudierte (...), Bd. 1: A-L (Halle 1807) 90. "
1864,Ware (Lücker),lücker wahr,,
2673,Kürassblech,curas blech,,
1866,"Beten, Bücher",petter und biecher,,
1867,Grabsteine (gehaut),gehaute grabstain,,
1868,Schreibfedern,schreib fed.,,
1869,Handelsbücher,handls:biecher,,
1870,Beinknöpfe,painer knöpff,,
1871,Käppel (halbseiden),halbseiden käpl,,
1873,Plankenladen,plancken laden,,
1874,Schusterschwärze,schuesterschwerz,"Eisenschwärze, die die Schuster zum Schwärzen des Schuhleders und der Absätze benötigen. ",
1875,Bauwein,pau:wein,,
1876,Porzellangeschirr,"parclan gschir, porcellain gschier, barcelin gschir",,
1877,Uhrenfutterale (klein),klaine uhrn fuederall,,
1878,Garn (grob),grobs gahrn,,
1879,Schneidertruhen,schneider truchen,,
1880,Heugabeln,heugabln,"sind zweizackige, eiserne Gabeln, die zum Schichten und Verladen des Heus verwendet werden.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Heugabel</a>&quot;."
3454,Tuchscherer-Späne,tuechscherer spän,Papppapier für Tuchpressen.,"Clasen, Textilherstellung 2, 67f.<br />"
1882,Paden,paden,"Wahrscheinlich ""Bodenladen"".",
1883,Holzbild,hilzen pild,,
1884,Uhrwerke (Messing),uhr werck v. mössing gemacht; mössingeres uhr werkh,,
1885,Strohbändel,stropändl,"Möglicherweise ""Strohbändchen"": schmales, seidenes Band, das nicht breiter als ein gepresster Strohhalm ist und von Frauen zum Aufputz der Kleidung genutzt wird. ","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Strohb&auml;ndchen</a>&quot;. "
1886,Schneiderware,schneider waar,Werkzeuge der Schneider sowie die von ihnen erzeugten Kleiderstücke.,"<p>Deutsches W&ouml;rterbuch von Jacob und Wilhelm Grimm, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schneiderware</a>&quot;. </p>"
1887,Klampferware,klampfer waar,"Haken oder ein mit Haken versehenes Werkzeug, dem sich hauptsächlich Zimmerleute bedienten, um Bauholz kurze Zeit damit zu befestigen.","Adelung, ""Klammer, Klampfe""."
1888,Barbiermesser,balwier messer,"Rasiermesser, vorzugsweise aus englischem Stahl.","<p>Kr&uuml;nitz, Enzyklop&auml;die, ""<a href=""http://kruenitz1.uni-trier.de/cgi-bin/getKRSearchText.tcl?sexp=barbiermesser+mode=0+start=0+loc=+from=+til=+sa=0"">Messerschmied</a>""; Wikipedia, ""<a href=""http://de.wikipedia.org/wiki/Rasiermesser"">Rasiermesser</a>""</p>"
1889,Casque,"casquet, casquetern",Französisch für Helm.,
1890,Messerware,mösser waar,,
1891,Zinn (gemacht),"gemacht zihn, gemachts zihn",,
1892,"Eisenware, Holzware",holz et eisen:waarn,,
1893,Papier (gefärbt),gefärbtes pappier,"Siehe ""Papier (blau)"".",
1894,Wismut,wismueth,,
1895,Bürstenbinderarbeit,biersten:binderarbeith,"Der Bürstenbinder stellt Bürsten her, nennt sich selbst aber Bürstenmacher.","Kr&uuml;nitz, Enzyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">B&uuml;rste</a>&quot;."
1896,"Hamen (geselcht), Zungen (geselcht)",geselchte zungen und hamen,"Ham: geräuchterter Schinken

",
1897,Zwiebelsamen,zwifflsamen,,
1898,"Halbseidenware, Krämerei, Seidenware","crammerej, seiden und halbseiden waar",,
1899,Brunellen,"bronellen, brunellen, pronellen, prunellen, pruneln, prunely",Getrocknete Kriechen-Pflaumen (Kriecherl),"Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Prunelle</a>&quot;; https://de.wikipedia.org/wiki/Kriechen-Pflaume."
1900,Schaffelle (weiß),weisse schaffehl,,
1901,Ländel (gemein),gmaine ländl,,
1902,Diensthennen,dienst henen,"siehe ""Dienstgetreide"".",
5514,Bassgeigen,passgaigen,,
1904,"Strohware, Ware (geistlich)",geistl: unnd stroo:waar,,
1905,Schusterzwecke,"schuester zwekh, schuester zweeg","Nagel, mit denen der Schuster das Leder über den Leisten spannt und befestigt.","Kr&uuml;nitz, Encyklop&auml;die, &quot;<a href=""http://www.kruenitz1.uni-trier.de/"">Schusterzwecke</a>&quot;."
1906,Siebböden,sibpöden,,"Adelung, &quot;<a href=""http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=Adelung&amp;lemid=DS04150"">Siebboden</a>&quot;. "
1907,Handwerkszeug,handwerkhs zeug,,
1908,"Wachskerzen, Windlichter",wax körzen und wind liechter,,
1909,Holzware (Berchtesgadener),"bertlesgadner holzwaar, pertholgaden holzwaar",,
1910,Betengrallen,"petten grallen, pettengrallen, better grollen, better grolln, peter krallen","Möglicherweise eine Bezeichnung für Rosenkranzkügelchen. Evtl. auch ""Rosenkranzkoralle""","<p><a href=""http://books.google.at/books?id=yqsrAQAAIAAJ&amp;q=bethengrallen&amp;dq=bethengrallen&amp;hl=de&amp;sa=X&amp;ei=TygkVLK7G6H-ygPy24CoCg&amp;ved=0CCQQ6AEwAQ"">http://books.google.at/books?id=yqsrAQAAIAAJ&amp;q=bethengrallen&amp;dq=bethengrallen&amp;hl=de&amp;sa=X&amp;ei=TygkVLK7G6H-ygPy24CoCg&amp;ved=0CCQQ6AEwAQ</a></p><p><a href=""http://www.zobodat.at/pdf/Jb-naturhist-Mus-Kaernten_19_0055-0083.pdf"">http://www.zobodat.at/pdf/Jb-naturhist-Mus-Kaernten_19_0055-0083.pdf</a>: &quot;Betengrallen&quot;. </p><p>&nbsp;</p>"
1911,Frischlinge,"frischling, frischling schwein, frischling schweinl, frischling schweindl",Junge Schweine. Siehe Schweindel.,
1912,Vieh (Schweizer),schweinzer vich,,
1913,Lägel,lägl,"Rundes, hölzernes Gefäß, das breiter als hoch ist.","Kr&uuml;nitz, Encyklop&auml;die, &quot;L&auml;gel&quot;."
1914,Schachteln (grob),grobe schachtl,,
1915,Gewürzschachteln,"gwierzt schachtl, gewierzschachtl, gwierz schachtl",,
1916,Spiegel (gemein),"gmaine spiegl, ordinari spiegl",,
